T Pos,ODO % sat_mean,ODO % sat_base,ODO mg/L_mean,ODO mg/L_base,Chlorophyll RFU_mean,Chlorophyll RFU_base,Chlorophyll µg/L_mean,Chlorophyll µg/L_base,BGA-PC RFU_mean,BGA-PC RFU_base,BGA-PC µg/L_mean,BGA-PC µg/L_base,Temp °C_mean,Temp °C_base,Cond µS/cm_mean,Cond µS/cm_base,SpCond µS/cm_mean,SpCond µS/cm_base,Sal psu_mean,Sal psu_base,nLF Cond µS/cm_mean,nLF Cond µS/cm_base,TDS mg/L_mean,TDS mg/L_base,Turbidity NTU_mean,Turbidity NTU_base,pH_mean,pH_base,pH mV_mean,pH mV_base,PAR_mean,PAR_MIN_mean,PAR_MAX_mean,ODO % sat_RCB,ODO mg/L_RCB,Chlorophyll RFU_RCB,Chlorophyll Âµg/L_RCB,BGA-PC RFU_RCB,BGA-PC Âµg/L_RCB,Temp Â°C_RCB,Cond ÂµS/cm_RCB,SpCond ÂµS/cm_RCB,Sal psu_RCB,nLF Cond ÂµS/cm_RCB,TDS mg/L_RCB,Turbidity NTU_RCB,pH_RCB,pH mV_RCB,Press psi a_RCB,Depth m_RCB,ODO % sat_Greenup,ODO mg/L_Greenup,Chlorophyll RFU_Greenup,Chlorophyll Âµg/L_Greenup,BGA-PC RFU_Greenup,BGA-PC Âµg/L_Greenup,Temp Â°C_Greenup,Cond ÂµS/cm_Greenup,SpCond ÂµS/cm_Greenup,Sal psu_Greenup,nLF Cond ÂµS/cm_Greenup,TDS mg/L_Greenup,Turbidity NTU_Greenup,pH_Greenup,pH mV_Greenup,Press psi a_Greenup,Depth m_Greenup
1,91.477,91.477,7.297,7.297,0.929,0.929,3.727,3.727,0.226,0.226,0.182,0.182,26.870,26.870,441.420,441.420,426.204,426.204,0.200,0.200,424.576,424.576,277.200,277.200,9.878,9.878,7.639,7.639,-74.519,-74.519,41.104,40.763,41.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,92.225,92.225,7.343,7.343,0.996,0.996,3.998,3.998,0.255,0.255,0.211,0.211,26.975,26.975,442.817,442.817,426.708,426.708,0.200,0.200,425.000,425.000,277.000,277.000,9.559,9.559,7.635,7.635,-74.208,-74.208,44.451,41.606,46.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,92.095,83.606,7.806,7.052,0.439,0.424,1.783,1.707,0.142,0.068,0.160,0.052,23.592,23.860,270.174,252.530,277.656,258.135,0.134,0.123,278.401,258.708,180.468,167.838,26.450,18.098,7.588,7.589,-64.505,-63.703,29.830,27.867,32.033,82.840,6.989,0.411,1.655,0.056,0.039,23.848,245.825,251.350,0.120,251.915,163.450,18.354,7.586,-64.185,-0.172,0.819,88.965,7.491,0.521,2.074,0.156,0.145,23.942,299.465,305.630,0.145,306.255,198.550,16.307,7.607,-60.330,1.460,1.031
4,93.807,93.807,7.443,7.443,0.992,0.992,3.979,3.979,0.246,0.246,0.205,0.205,27.174,27.174,447.827,447.827,429.973,429.973,0.201,0.201,428.060,428.060,279.267,279.267,9.597,9.597,7.654,7.654,-75.440,-75.440,165.608,160.291,171.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,85.178,78.442,6.964,6.389,0.494,0.563,2.002,2.254,0.124,0.283,0.134,0.288,25.550,25.751,289.911,300.307,286.906,296.053,0.140,0.142,286.611,295.604,186.500,192.333,64.818,47.570,7.431,7.447,-59.656,-56.824,7.095,6.649,7.373,78.400,6.391,0.586,2.359,0.284,0.291,25.708,295.875,291.925,0.140,291.513,189.625,47.548,7.466,-56.463,-0.157,1.032,78.600,6.380,0.473,1.854,0.281,0.275,25.912,317.150,311.737,0.150,311.150,202.625,47.654,7.373,-58.200,1.445,1.020
6,84.950,77.306,6.977,6.330,0.497,0.485,2.010,1.937,0.135,0.257,0.147,0.259,25.294,25.459,285.483,299.297,283.867,296.666,0.130,0.143,283.725,296.400,184.250,192.688,71.868,40.190,7.417,7.431,-59.058,-56.122,4.608,4.443,4.762,76.700,6.289,0.480,1.928,0.238,0.241,25.381,293.550,291.425,0.140,291.213,189.250,34.438,7.446,-55.200,-0.023,1.127,79.125,6.453,0.501,1.965,0.315,0.311,25.693,316.538,312.388,0.150,311.963,203.000,57.448,7.385,-58.888,1.490,1.052
7,84.644,72.940,6.964,5.998,0.516,0.553,2.096,2.213,0.178,0.308,0.188,0.311,25.216,25.228,280.067,295.968,278.911,294.656,0.130,0.143,278.778,294.513,181.556,191.667,74.531,56.521,7.407,7.401,-58.378,-54.668,1.438,1.346,1.522,70.650,5.817,0.578,2.330,0.318,0.325,25.164,288.275,287.350,0.140,287.250,187.000,57.637,7.408,-52.925,0.046,1.175,78.500,6.438,0.493,1.928,0.285,0.278,25.382,314.650,312.400,0.150,312.150,203.000,53.810,7.385,-58.900,1.558,1.100
8,90.396,84.092,7.567,7.032,0.576,0.461,2.338,1.849,0.194,0.101,0.212,0.084,24.256,24.312,346.543,328.817,351.547,333.192,0.168,0.159,352.046,333.644,228.476,216.528,31.252,13.498,7.634,7.591,-67.246,-62.744,6.632,6.087,7.331,80.492,6.735,0.413,1.667,0.050,0.031,24.280,323.017,327.525,0.158,327.992,212.833,14.130,7.566,-62.958,-0.162,0.826,91.292,7.626,0.555,2.211,0.202,0.191,24.376,340.417,344.525,0.162,344.950,223.917,12.233,7.641,-62.317,1.173,0.828
9,87.265,76.523,6.880,6.037,0.626,0.547,2.538,2.182,0.062,0.165,0.073,0.166,27.554,27.523,353.322,363.533,336.893,346.817,0.160,0.164,335.116,345.024,219.037,225.417,22.433,15.455,7.570,7.507,-68.065,-61.771,30.242,28.420,31.758,72.267,5.703,0.561,2.253,0.158,0.163,27.513,355.383,339.092,0.160,337.358,220.417,15.763,7.525,-60.083,0.153,1.251,83.617,6.593,0.525,2.063,0.177,0.172,27.540,377.117,359.692,0.170,357.800,233.750,14.942,7.478,-64.583,1.436,1.015
10,87.624,78.506,6.892,6.164,0.669,0.485,2.706,1.929,0.083,0.136,0.094,0.139,27.679,27.781,353.861,366.195,336.636,347.725,0.160,0.164,334.778,345.727,218.823,226.000,22.073,11.521,7.591,7.516,-69.456,-62.472,85.545,82.778,91.449,73.288,5.760,0.426,1.711,0.103,0.109,27.735,358.638,340.850,0.160,338.925,221.625,10.570,7.526,-60.050,0.191,1.278,85.813,6.730,0.567,2.234,0.184,0.181,27.846,376.775,357.350,0.170,355.250,232.125,12.851,7.502,-65.863,1.375,0.972
11,97.448,90.083,7.574,7.002,1.397,0.544,5.646,2.167,0.144,0.137,0.155,0.140,28.351,28.355,374.831,365.861,352.293,343.843,0.168,0.165,349.852,341.434,228.976,223.276,10.120,9.363,7.736,7.618,-78.000,-68.987,95.391,93.755,97.522,85.775,6.654,0.539,2.164,0.109,0.116,28.450,361.375,339.025,0.160,336.588,220.125,8.516,7.640,-66.988,0.270,1.334,95.175,7.414,0.551,2.171,0.171,0.169,28.242,371.163,349.538,0.170,347.163,227.000,10.364,7.591,-71.350,1.625,1.148
12,89.228,79.233,7.372,6.518,0.738,0.437,2.965,1.730,0.150,0.095,0.112,0.087,24.967,25.167,349.991,365.650,350.203,364.358,0.166,0.175,350.225,364.225,227.658,236.833,18.358,11.760,7.635,7.519,-66.277,-63.517,37.478,35.706,39.317,71.683,5.947,0.369,1.488,0.017,0.003,24.752,346.825,348.475,0.170,348.650,226.583,12.345,7.537,-61.475,-0.063,0.895,86.783,7.089,0.504,1.972,0.173,0.171,25.582,384.475,380.242,0.180,379.800,247.083,11.175,7.500,-65.558,1.608,1.135
13,95.156,84.959,7.403,6.648,1.563,0.643,6.320,2.563,0.163,0.166,0.176,0.167,28.291,27.975,373.377,368.591,351.304,348.767,0.170,0.165,348.901,346.644,228.500,226.542,11.983,16.746,7.677,7.551,-74.476,-65.530,63.654,59.349,67.913,79.725,6.246,0.765,3.081,0.181,0.188,27.901,366.925,347.650,0.160,345.588,226.000,28.515,7.592,-64.088,0.266,1.331,89.387,6.988,0.540,2.124,0.153,0.149,28.037,370.000,349.713,0.170,347.538,227.000,6.788,7.516,-66.750,1.547,1.093
14,83.368,78.640,6.569,6.152,0.620,0.387,2.548,1.554,0.182,0.092,0.179,0.108,27.589,28.013,387.211,399.625,369.016,377.956,0.175,0.176,367.068,375.596,239.895,245.521,14.746,10.539,7.665,7.575,-73.174,-67.800,111.031,106.945,114.233,67.250,5.228,0.520,2.095,0.175,0.185,28.349,385.975,362.775,0.170,360.225,235.750,17.065,7.573,-62.900,0.210,1.291,86.775,6.813,0.293,1.168,0.033,0.053,27.774,409.375,388.800,0.180,386.575,252.500,5.877,7.577,-71.300,1.030,0.937
15,84.223,77.894,6.645,6.118,0.578,0.395,2.379,1.576,0.183,0.090,0.181,0.107,27.493,27.790,406.859,398.736,388.382,378.625,0.182,0.178,386.395,376.467,252.321,246.094,14.665,11.719,7.682,7.550,-74.048,-66.795,83.609,82.384,85.313,68.800,5.366,0.580,2.329,0.198,0.204,28.153,382.213,360.500,0.170,358.163,234.375,20.699,7.589,-63.975,0.197,1.283,83.350,6.569,0.284,1.125,0.026,0.049,27.572,408.650,389.500,0.183,387.450,253.125,6.331,7.528,-68.488,1.047,0.950
16,75.208,70.108,6.312,5.852,0.778,0.719,3.148,2.861,0.398,0.481,0.410,0.475,24.123,24.409,296.817,300.296,301.858,303.704,0.142,0.145,302.383,304.042,196.417,197.521,178.010,98.133,7.403,7.370,-58.096,-55.492,0.009,0.005,0.025,65.700,5.499,0.746,2.997,0.472,0.479,24.272,281.338,285.300,0.136,285.700,185.563,91.238,7.405,-52.738,-0.280,0.945,72.313,6.028,0.706,2.794,0.485,0.473,24.477,309.775,312.906,0.150,313.213,203.500,101.581,7.352,-56.869,1.405,0.992
18,100.495,96.688,7.918,7.538,2.222,1.864,8.985,7.494,0.219,0.484,0.196,0.451,27.585,28.174,376.248,377.675,358.564,356.088,0.170,0.170,356.644,353.750,233.045,231.375,9.875,8.567,7.778,7.730,-82.977,-79.688,75.401,71.772,82.512,96.688,7.538,1.864,7.494,0.484,0.451,28.174,377.675,356.088,0.170,353.750,231.375,8.567,7.730,-79.688,0.093,1.336,,,,,,,,,,,,,,,,,
19,100.467,87.900,7.948,6.903,2.509,1.911,10.134,7.676,0.216,0.461,0.191,0.425,27.355,27.806,376.038,375.488,359.833,356.388,0.170,0.170,358.128,354.350,233.933,232.000,8.808,19.318,7.825,7.598,-85.693,-71.963,44.810,44.101,46.411,87.900,6.903,1.911,7.676,0.461,0.425,27.806,375.488,356.388,0.170,354.350,232.000,19.318,7.598,-71.963,0.093,1.335,,,,,,,,,,,,,,,,,
20,81.351,79.008,6.418,6.206,0.779,0.610,3.178,2.448,0.241,0.093,0.257,0.105,27.491,27.767,427.041,416.958,407.640,396.002,0.191,0.188,405.559,393.746,264.932,257.313,11.207,8.135,7.608,7.465,-67.966,-64.675,101.530,98.208,103.942,72.800,5.761,0.639,2.564,0.204,0.165,27.355,397.563,380.450,0.180,378.600,247.000,8.800,7.498,-65.988,-0.002,1.269,80.250,6.295,0.604,2.425,0.071,0.093,27.849,420.838,399.112,0.190,396.775,259.375,8.003,7.459,-64.413,1.079,0.972
21,91.865,88.073,7.160,6.848,0.940,0.448,3.837,1.798,0.189,0.063,0.185,0.081,28.307,28.321,384.922,377.894,362.025,355.353,0.170,0.169,359.535,352.914,235.198,230.891,9.306,6.968,7.743,7.567,-77.965,-69.767,97.106,95.059,98.482,76.863,5.967,0.479,1.925,0.141,0.146,28.404,367.000,344.613,0.160,342.163,224.000,8.494,7.645,-67.438,0.039,1.170,89.675,6.974,0.444,1.780,0.051,0.071,28.309,379.450,356.888,0.170,354.450,231.875,6.750,7.556,-70.100,0.978,0.901
22,81.745,78.648,6.431,6.184,0.780,0.532,3.182,2.131,0.299,0.063,0.315,0.083,27.655,27.693,428.006,414.344,407.353,394.056,0.190,0.189,405.132,391.875,264.723,256.382,9.404,7.519,7.619,7.441,-68.668,-63.369,30.619,29.829,31.273,70.833,5.607,0.686,2.752,0.227,0.188,27.305,397.592,380.825,0.180,379.042,247.750,9.904,7.484,-65.317,-0.087,1.208,79.358,6.237,0.518,2.075,0.048,0.073,27.728,415.867,395.258,0.190,393.042,257.167,7.302,7.438,-63.192,1.087,0.978
23,89.691,86.838,6.997,6.777,0.649,0.506,2.664,2.030,0.151,0.068,0.147,0.089,28.135,28.118,381.522,381.900,359.960,360.459,0.170,0.170,357.620,358.131,233.901,234.264,9.372,8.619,7.705,7.537,-75.583,-68.716,41.820,41.499,42.204,66.817,5.243,0.435,1.750,0.132,0.139,27.836,368.300,349.358,0.168,347.342,226.917,9.252,7.547,-61.425,0.064,1.188,87.708,6.843,0.509,2.043,0.065,0.087,28.130,382.492,360.942,0.170,358.600,234.583,8.592,7.537,-69.033,0.910,0.853
